layer,pair_id,language,pc1,pc2
1,23,English,3.0058727264404297,1.9625390768051147
1,23,French,-3.5753893852233887,3.531372308731079
1,24,English,3.4485456943511963,-2.6450870037078857
1,24,French,-2.8645670413970947,-5.807387351989746
1,25,English,3.013474702835083,-0.17890121042728424
1,25,French,-1.9977976083755493,-0.14428341388702393
1,26,English,3.575878381729126,-0.7913488745689392
1,26,French,-5.102533340454102,-1.7705302238464355
1,27,English,3.5639050006866455,1.8852815628051758
1,27,French,-3.568863868713379,2.113579750061035
1,28,English,3.057518482208252,1.8364838361740112
1,28,French,-3.4401519298553467,1.6549416780471802
1,29,English,3.6965558528900146,0.5298529863357544
1,29,French,-3.890066146850586,0.3363264799118042
1,30,English,2.303978681564331,0.8502693176269531
1,30,French,-0.14197972416877747,0.4510160982608795
1,31,English,3.5917093753814697,-2.3883559703826904
1,31,French,0.1739322990179062,-1.507980465888977
1,32,English,3.1472954750061035,1.6038264036178589
1,32,French,-0.9312583804130554,2.053755521774292
1,33,English,3.672006607055664,-1.5533530712127686
1,33,French,-2.190620183944702,-2.411773204803467
1,34,English,2.797194004058838,-0.2688497006893158
1,34,French,-4.340695381164551,-2.190980911254883
1,35,English,2.729321241378784,-0.7289729714393616
1,35,French,-2.896843910217285,-0.05932961404323578
1,36,English,2.990128755569458,2.2468180656433105
1,36,French,-0.5093705654144287,2.9499423503875732
1,37,English,3.337878704071045,0.5752701759338379
1,37,French,-5.14558219909668,0.49939078092575073
1,38,English,3.3126449584960938,0.9193704724311829
1,38,French,-5.093165397644043,3.6754815578460693
1,39,English,3.4200804233551025,-1.486377477645874
1,39,French,-4.301585674285889,-0.4435858130455017
1,40,English,3.632258415222168,-1.748072862625122
1,40,French,-4.492241382598877,-5.304778575897217
1,41,English,3.8973467350006104,-2.360302448272705
1,41,French,-2.3827710151672363,-2.8902063369750977
1,42,English,3.1098320484161377,-2.1872591972351074
1,42,French,-1.7652668952941895,-3.7769691944122314
1,43,English,3.8746895790100098,-0.026372039690613747
1,43,French,-4.594778060913086,-0.8074012994766235
1,44,English,3.528829574584961,-2.0615546703338623
1,44,French,-4.940857887268066,-3.914313316345215
1,45,English,3.4485456943511963,-2.6450870037078857
1,45,French,-2.7004644870758057,-5.146938800811768
1,46,English,3.0513839721679688,0.8860311508178711
1,46,French,-4.6377272605896,1.5932610034942627
1,47,English,2.320342779159546,0.40710511803627014
1,47,French,-4.936617374420166,0.5092571973800659
1,48,English,3.1089539527893066,1.8702313899993896
1,48,French,-4.405407428741455,1.4592431783676147
1,49,English,2.9754483699798584,0.5000870823860168
1,49,French,-2.1965231895446777,1.876818299293518
1,50,English,3.3733718395233154,1.427830696105957
1,50,French,-4.218247413635254,2.0484209060668945
1,51,English,3.480388879776001,-1.0560550689697266
1,51,French,0.46823883056640625,-1.5202064514160156
1,52,English,4.148775100708008,-0.3173061013221741
1,52,French,-2.805117130279541,-2.616196393966675
1,53,English,3.171318769454956,0.27152979373931885
1,53,French,-4.319104194641113,2.30842661857605
1,54,English,3.4113118648529053,0.9053466320037842
1,54,French,-5.197201728820801,1.968497395515442
1,55,English,2.901278495788574,1.9266517162322998
1,55,French,-3.0827691555023193,2.914476156234741
